,state,county,candidate,votes,party,educated (bacelor and higher),persentage of white people,persentage of black people,white-black percentage difference
1189,California,Los Angeles,Hillary Clinton,590502.0,Democrat,29.7,71.3,9.2,62.099999999999994
12451,Pennsylvania,Philadelphia,Hillary Clinton,212785.0,Democrat,23.9,45.3,44.1,1.1999999999999957
7510,Michigan,Wayne,Hillary Clinton,163886.0,Democrat,21.3,54.8,39.3,15.5
14611,Texas,Harris,Hillary Clinton,156729.0,Democrat,28.4,70.5,19.5,51.0
1245,California,Orange,Donald Trump,146888.0,Republican,36.8,73.5,2.1,71.4
539,Arizona,Maricopa,Donald Trump,144522.0,Republican,29.8,84.4,5.7,78.7
1279,California,San Diego,Hillary Clinton,139813.0,Democrat,34.6,76.3,5.6,70.7
1604,Florida,Broward,Hillary Clinton,132527.0,Democrat,29.9,64.9,28.9,36.00000000000001
1826,Florida,Miami-Dade,Hillary Clinton,129467.0,Democrat,26.3,77.9,18.9,59.00000000000001
11059,Ohio,Cuyahoga,Hillary Clinton,125914.0,Democrat,29.7,64.4,30.3,34.10000000000001
12206,Pennsylvania,Allegheny,Hillary Clinton,122399.0,Democrat,35.9,81.0,13.4,67.6
10199,New York,Queens,Hillary Clinton,122386.0,Democrat,30.0,49.1,20.8,28.3
6911,Maryland,Prince George's,Hillary Clinton,113912.0,Democrat,29.8,26.9,64.7,-37.800000000000004
14309,Texas,Dallas,Hillary Clinton,113574.0,Democrat,28.6,68.0,23.1,44.9
1309,California,Santa Clara,Hillary Clinton,109963.0,Democrat,46.5,56.4,2.9,53.5
6906,Maryland,Montgomery,Hillary Clinton,109304.0,Democrat,57.1,62.0,18.8,43.2
1099,California,Alameda,Hillary Clinton,107102.0,Democrat,41.8,51.7,12.1,39.6
1868,Florida,Palm Beach,Hillary Clinton,103369.0,Democrat,32.4,76.1,18.8,57.3
17147,Wisconsin,Dane,Bernie Sanders,102585.0,Democrat,46.6,86.1,5.4,80.69999999999999
11103,Ohio,Franklin,John Kasich,101217.0,Republican,36.4,69.8,22.2,47.599999999999994
17288,Wisconsin,Milwaukee,Hillary Clinton,100932.0,Democrat,28.1,65.3,27.2,38.099999999999994
10017,New York,Bronx,Hillary Clinton,95772.0,Democrat,18.1,45.5,43.5,2.0
7396,Michigan,Oakland,Hillary Clinton,92296.0,Democrat,43.1,76.5,14.5,62.0
15443,Texas,Tarrant,Ted Cruz,88867.0,Republican,29.5,75.2,16.2,59.0
12144,Oregon,Multnomah,Bernie Sanders,87247.0,Democrat,39.9,80.5,5.7,74.8
16107,Virginia,Fairfax,Hillary Clinton,86898.0,Democrat,58.6,66.6,10.0,56.599999999999994
1284,California,San Francisco,Hillary Clinton,85070.0,Democrat,52.4,53.8,5.8,48.0
1260,California,Riverside,Donald Trump,82814.0,Republican,20.5,80.5,7.0,73.5
2390,Georgia,Fulton,Hillary Clinton,82576.0,Democrat,48.2,46.7,44.3,2.4000000000000057
2278,Georgia,DeKalb,Hillary Clinton,82348.0,Democrat,39.7,36.7,54.8,-18.099999999999994
11415,Ohio,Summit,John Kasich,79040.0,Republican,29.6,79.9,14.8,65.10000000000001
10848,North Carolina,Wake,Hillary Clinton,77927.0,Democrat,48.0,69.0,21.3,47.7
14015,Texas,Bexar,Hillary Clinton,76502.0,Democrat,26.3,85.2,8.3,76.9
17426,Wisconsin,Waukesha,Ted Cruz,75123.0,Republican,40.2,93.6,1.4,92.19999999999999
9773,New Jersey,Essex,Hillary Clinton,75071.0,Democrat,32.0,49.7,41.9,7.800000000000004
15486,Texas,Travis,Bernie Sanders,73889.0,Democrat,44.9,80.7,8.9,71.8
6846,Maryland,Baltimore,Hillary Clinton,73099.0,Democrat,35.7,63.5,27.8,35.7
10656,North Carolina,Mecklenburg,Hillary Clinton,71265.0,Democrat,40.7,59.2,32.2,27.0
1274,California,San Bernardino,Hillary Clinton,71246.0,Democrat,18.7,77.3,9.5,67.8
10148,New York,Nassau,Hillary Clinton,70947.0,Democrat,41.5,76.1,12.6,63.49999999999999
1129,California,Contra Costa,Hillary Clinton,69809.0,Democrat,39.0,67.3,9.6,57.699999999999996
10286,New York,Westchester,Hillary Clinton,69628.0,Democrat,45.4,74.4,16.1,58.300000000000004
10247,New York,Suffolk,Donald Trump,69379.0,Republican,32.9,85.2,8.3,76.9
1736,Florida,Hillsborough,Hillary Clinton,68936.0,Democrat,29.5,75.3,17.5,57.8
1264,California,Sacramento,Hillary Clinton,68248.0,Democrat,28.0,64.6,10.9,53.699999999999996
11139,Ohio,Hamilton,John Kasich,67510.0,Republican,33.7,69.0,26.1,42.9
255,Alabama,Jefferson,Hillary Clinton,67357.0,Democrat,30.0,54.0,42.9,11.100000000000001
13797,Tennessee,Shelby,Hillary Clinton,66465.0,Democrat,29.0,42.3,53.3,-11.0
3492,Illinois,DuPage,Bernie Sanders,65159.0,Democrat,46.3,81.1,5.2,75.89999999999999
