county,Democrat,Republican,proportion,democratWin
Autauga,2931.0,11839.0,0.1984427894380501,False
Baldwin,11783.0,53544.0,0.18036952561727923,False
Barbour,4469.0,5395.0,0.4530616382806164,False
Bibb,16764.0,19028.0,0.46837282074206527,False
Blount,6057.0,35487.0,0.14579722703639514,False
Bullock,2629.0,541.0,0.8293375394321767,True
Butler,45205.0,115176.0,0.28186007070662983,False
Calhoun,26301.0,46099.0,0.36327348066298343,False
Chambers,4191.0,11246.0,0.2714905745935091,False
Cherokee,21315.0,81490.0,0.2073342736248237,False
Chilton,1149.0,10404.0,0.09945468709426124,False
Choctaw,3784.0,4329.0,0.4664119314680143,False
Clarke,20096.0,18991.0,0.514135134443677,True
Clay,45441.0,95868.0,0.3215718744029043,False
Cleburne,1367.0,10887.0,0.1115554104782112,False
Coffee,5619.0,22643.0,0.19881820111810913,False
Colbert,5221.0,8036.0,0.39382967488873805,False
Conecuh,2575.0,1271.0,0.6695267810712429,True
Coosa,1137.0,2176.0,0.34319348022939933,False
Covington,2774.0,12709.0,0.17916424465542855,False
Crenshaw,1015.0,2704.0,0.27292282871739715,False
Cullman,1998.0,20557.0,0.08858346264686322,False
Dale,1959.0,8836.0,0.18147290412227884,False
Dallas,173021.0,182108.0,0.4872060575171276,False
DeKalb,133218.0,82555.0,0.6173988404480635,True
Elmore,4213.0,20211.0,0.17249426793318048,False
Escambia,28336.0,53623.0,0.34573384253102163,False
Etowah,5551.0,18417.0,0.2316004672897196,False
Fayette,78473.0,86057.0,0.4769525314532304,False
Franklin,215941.0,272424.0,0.4421713267740317,False
Geneva,701.0,6190.0,0.10172689014656798,False
Greene,64337.0,130673.0,0.329916414542844,False
Hale,3341.0,5356.0,0.3841554559043348,False
Henry,39226.0,72513.0,0.35105021523371427,False
Houston,13070.0,43708.0,0.23019479375814575,False
Jackson,175886.0,205597.0,0.46105855306789556,False
Jefferson,336182.0,299508.0,0.5288458210763107,True
Lamar,5010.0,27083.0,0.15610880877449912,False
Lauderdale,10575.0,29620.0,0.26309242443089936,False
Lawrence,39399.0,64239.0,0.3801597869507324,False
Lee,74912.0,164010.0,0.31354165794694505,False
Limestone,5059.0,22231.0,0.18537925980212533,False
Lowndes,14670.0,20152.0,0.4212853942909655,False
Macon,21207.0,30032.0,0.41388395558071,False
Madison,120525.0,203169.0,0.372342397449443,False
Marengo,4682.0,1046.0,0.8173882681564246,True
Marion,208852.0,235133.0,0.4704032793900695,False
Marshall,22671.0,46206.0,0.3291519665490657,False
Mobile,34599.0,61351.0,0.3605940594059406,False
Monroe,156682.0,159233.0,0.49596252156434484,False
Montgomery,420802.0,403174.0,0.510696913502335,True
Morgan,18081.0,65449.0,0.2164611516820304,False
Perry,18088.0,28891.0,0.3850230954256157,False
Pickens,8067.0,33081.0,0.19604841061533976,False
Pike,23590.0,35808.0,0.39715141923970504,False
Randolph,26031.0,45604.0,0.36338382075800935,False
Russell,7116.0,9196.0,0.4362432564982835,False
Shelby,105205.0,154832.0,0.40457704095955577,False
St. Clair,48595.0,72448.0,0.40146889948200226,False
Sumter,27068.0,46694.0,0.3669640194137903,False
Talladega,6343.0,12097.0,0.34398047722342734,False
Tallapoosa,2966.0,8649.0,0.2553594489883771,False
Tuscaloosa,15580.0,30465.0,0.33836464328374416,False
Walker,6453.0,32983.0,0.1636322142205092,False
Washington,190410.0,259086.0,0.4236077740402584,False
Wilcox,4090.0,1596.0,0.719310587407668,True
Winston,2085.0,8287.0,0.2010219822599306,False
State House District 1,12.0,385.0,0.030226700251889168,False
State House District 10,10.0,822.0,0.01201923076923077,False
State House District 11,11.0,1064.0,0.010232558139534883,False
State House District 12,10.0,1055.0,0.009389671361502348,False
State House District 13,7.0,539.0,0.01282051282051282,False
State House District 14,13.0,1114.0,0.011535048802129548,False
State House District 15,9.0,251.0,0.03461538461538462,False
State House District 16,15.0,426.0,0.034013605442176874,False
State House District 17,14.0,308.0,0.043478260869565216,False
State House District 18,18.0,345.0,0.049586776859504134,False
State House District 19,12.0,127.0,0.08633093525179857,False
State House District 2,6.0,253.0,0.023166023166023165,False
State House District 20,18.0,211.0,0.07860262008733625,False
State House District 21,18.0,468.0,0.037037037037037035,False
State House District 22,14.0,631.0,0.021705426356589147,False
State House District 23,13.0,303.0,0.04113924050632911,False
State House District 24,15.0,611.0,0.023961661341853034,False
State House District 25,15.0,472.0,0.030800821355236138,False
State House District 26,14.0,703.0,0.019525801952580194,False
State House District 27,17.0,634.0,0.026113671274961597,False
State House District 28,19.0,912.0,0.02040816326530612,False
State House District 29,10.0,1057.0,0.00937207122774133,False
State House District 3,7.0,541.0,0.012773722627737226,False
State House District 30,9.0,987.0,0.009036144578313253,False
State House District 31,16.0,995.0,0.01582591493570722,False
State House District 32,13.0,427.0,0.029545454545454545,False
State House District 33,25.0,327.0,0.07102272727272728,False
State House District 34,18.0,433.0,0.03991130820399113,False
State House District 35,18.0,273.0,0.061855670103092786,False
State House District 36,12.0,654.0,0.018018018018018018,False
State House District 37,14.0,109.0,0.11382113821138211,False
State House District 38,17.0,41.0,0.29310344827586204,False
State House District 39,17.0,93.0,0.15454545454545454,False
State House District 4,19.0,618.0,0.029827315541601257,False
State House District 40,12.0,21.0,0.36363636363636365,False
State House District 5,15.0,459.0,0.03164556962025317,False
State House District 6,12.0,356.0,0.03260869565217391,False
State House District 7,8.0,788.0,0.010050251256281407,False
State House District 8,7.0,1058.0,0.006572769953051643,False
State House District 9,10.0,1059.0,0.009354536950420954,False
Apache,6383.0,2159.0,0.7472488878482791,True
