Retailer country,Camping Equipment,Golf Equipment,Mountaineering Equipment,Outdoor Protection,Personal Accessories
Australia,4888856.360000002,3226791.410000001,2159714.460000001,105535.82000000002,4500950.489999999
Austria,3712174.43,2488394.9999999995,1570293.8999999997,80261.09,6342837.539999996
Belgium,3354655.37,2146463.97,1429134.0700000003,68918.04000000001,4701049.429999999
Brazil,3621557.3,2344466.5300000003,1518427.75,76005.58000000002,5560395.11
Canada,9114473.39,5647517.279999999,3868103.4899999984,188722.11,11657454.839999998
China,8399607.75,5599713.27,3623874.7700000005,178277.78,11590186.660000004
Denmark,1355084.1699999995,276050.58999999997,248954.68,28197.91,3063185.5100000002
Finland,6030428.420000002,3985209.25,2448051.37,118175.56000000001,5935627.290000001
France,7487325.12,4713372.150000001,3150605.99,155181.34,11294003.599999998
Germany,6938048.65,4511637.02,3005723.1999999997,144789.67,9290086.04
Italy,5539812.389999999,3868158.689999999,2469385.4999999995,115973.90000000002,7466497.749999999
Japan,8862810.790000001,5883496.200000001,3852248.8199999984,185165.15999999997,16042077.15
Korea,6256785.76,4237951.51,2708968.37,129868.35999999999,6148222.269999999
Mexico,5415593.71,3546520.11,2311666.4200000004,114330.12000000001,4478387.9
Netherlands,5848549.399999999,3631426.709999999,2325760.8099999996,110592.20000000001,7204098.75
Singapore,5661253.22,3534015.6499999994,2468739.0700000003,118644.53,7839522.039999999
Spain,5197574.030000001,3540352.0100000007,2346184.87,104956.84,6200067.07
Sweden,2452843.8499999996,2387892.6599999997,1387433.9700000002,48351.299999999996,4722094.909999999
Switzerland,3614162.68,2330265.4499999983,1559282.28,77853.95999999999,6248936.73
United Kingdom,7760372.540000003,4876159.76,3224940.670000002,154251.76,10988954.39999999
United States,21118927.32,13866839.679999998,9041319.730000002,441204.14999999997,35260523.58999999
