Year,Product line,Revenue,Planned revenue,Product cost
2004,Camping Equipment,332986338.05999917,361495088.9700003,215830026.45999956
2004,Golf Equipment,153553850.9800001,169875640.98000005,82787461.68999997
2004,Mountaineering Equipment,0.0,0.0,0.0
2004,Outdoor Protection,36165521.07000006,38181339.97999999,14816223.350000003
2004,Personal Accessories,391647093.60999954,398923067.5899993,233301183.6499998
2005,Camping Equipment,402757573.1699998,431970502.1500003,254688462.0499999
2005,Golf Equipment,168006427.0699999,182227978.19000012,89187082.13000003
2005,Mountaineering Equipment,107099659.93999994,113363106.74999994,64776092.73999994
2005,Outdoor Protection,25008574.080000002,26157261.77,9507039.150000002
2005,Personal Accessories,456323355.8999999,464458617.6600002,272353222.43999994
2006,Camping Equipment,500382422.83000034,531010839.0699993,311439648.5500002
2006,Golf Equipment,230110270.55000022,247977474.84999982,114145057.5099999
2006,Mountaineering Equipment,161039823.2599999,168584907.17,96806295.86000007
2006,Outdoor Protection,10349175.839999996,10938440.679999992,3961982.8900000015
2006,Personal Accessories,594009408.4200006,602227218.0700008,346277543.6199992
2007,Camping Equipment,352910329.9700001,378648235.4000003,220279433.3200004
2007,Golf Equipment,174740819.2900001,190179870.0900001,88098124.39000008
2007,Mountaineering Equipment,141520649.70000002,148620073.47000003,84801835.50999999
2007,Outdoor Protection,4471025.259999999,4728224.459999998,1725768.0799999991
2007,Personal Accessories,443693449.85000044,449774474.64000094,257158290.7799997
