Retailer country,Product line,Gross profit
Australia,Camping Equipment,4888856.360000002
Australia,Golf Equipment,3226791.410000001
Australia,Mountaineering Equipment,2159714.460000001
Australia,Outdoor Protection,105535.82000000002
Australia,Personal Accessories,4500950.489999999
Austria,Camping Equipment,3712174.43
Austria,Golf Equipment,2488394.9999999995
Austria,Mountaineering Equipment,1570293.8999999997
Austria,Outdoor Protection,80261.09
Austria,Personal Accessories,6342837.539999996
Belgium,Camping Equipment,3354655.37
Belgium,Golf Equipment,2146463.97
Belgium,Mountaineering Equipment,1429134.0700000003
Belgium,Outdoor Protection,68918.04000000001
Belgium,Personal Accessories,4701049.429999999
Brazil,Camping Equipment,3621557.3
Brazil,Golf Equipment,2344466.5300000003
Brazil,Mountaineering Equipment,1518427.75
Brazil,Outdoor Protection,76005.58000000002
Brazil,Personal Accessories,5560395.11
Canada,Camping Equipment,9114473.39
Canada,Golf Equipment,5647517.279999999
Canada,Mountaineering Equipment,3868103.4899999984
Canada,Outdoor Protection,188722.11
Canada,Personal Accessories,11657454.839999998
China,Camping Equipment,8399607.75
China,Golf Equipment,5599713.27
China,Mountaineering Equipment,3623874.7700000005
China,Outdoor Protection,178277.78
China,Personal Accessories,11590186.660000004
Denmark,Camping Equipment,1355084.1699999995
Denmark,Golf Equipment,276050.58999999997
Denmark,Mountaineering Equipment,248954.68
Denmark,Outdoor Protection,28197.91
Denmark,Personal Accessories,3063185.5100000002
Finland,Camping Equipment,6030428.420000002
Finland,Golf Equipment,3985209.25
Finland,Mountaineering Equipment,2448051.37
Finland,Outdoor Protection,118175.56000000001
Finland,Personal Accessories,5935627.290000001
France,Camping Equipment,7487325.12
France,Golf Equipment,4713372.150000001
France,Mountaineering Equipment,3150605.99
France,Outdoor Protection,155181.34
France,Personal Accessories,11294003.599999998
Germany,Camping Equipment,6938048.65
Germany,Golf Equipment,4511637.02
Germany,Mountaineering Equipment,3005723.1999999997
Germany,Outdoor Protection,144789.67
Germany,Personal Accessories,9290086.04
Italy,Camping Equipment,5539812.389999999
Italy,Golf Equipment,3868158.689999999
Italy,Mountaineering Equipment,2469385.4999999995
Italy,Outdoor Protection,115973.90000000002
Italy,Personal Accessories,7466497.749999999
Japan,Camping Equipment,8862810.790000001
Japan,Golf Equipment,5883496.200000001
Japan,Mountaineering Equipment,3852248.8199999984
Japan,Outdoor Protection,185165.15999999997
Japan,Personal Accessories,16042077.15
Korea,Camping Equipment,6256785.76
Korea,Golf Equipment,4237951.51
Korea,Mountaineering Equipment,2708968.37
Korea,Outdoor Protection,129868.35999999999
Korea,Personal Accessories,6148222.269999999
Mexico,Camping Equipment,5415593.71
Mexico,Golf Equipment,3546520.11
Mexico,Mountaineering Equipment,2311666.4200000004
Mexico,Outdoor Protection,114330.12000000001
Mexico,Personal Accessories,4478387.9
Netherlands,Camping Equipment,5848549.399999999
Netherlands,Golf Equipment,3631426.709999999
Netherlands,Mountaineering Equipment,2325760.8099999996
Netherlands,Outdoor Protection,110592.20000000001
Netherlands,Personal Accessories,7204098.75
Singapore,Camping Equipment,5661253.22
Singapore,Golf Equipment,3534015.6499999994
Singapore,Mountaineering Equipment,2468739.0700000003
Singapore,Outdoor Protection,118644.53
Singapore,Personal Accessories,7839522.039999999
Spain,Camping Equipment,5197574.030000001
Spain,Golf Equipment,3540352.0100000007
Spain,Mountaineering Equipment,2346184.87
Spain,Outdoor Protection,104956.84
Spain,Personal Accessories,6200067.07
Sweden,Camping Equipment,2452843.8499999996
Sweden,Golf Equipment,2387892.6599999997
Sweden,Mountaineering Equipment,1387433.9700000002
Sweden,Outdoor Protection,48351.299999999996
Sweden,Personal Accessories,4722094.909999999
Switzerland,Camping Equipment,3614162.68
Switzerland,Golf Equipment,2330265.4499999983
Switzerland,Mountaineering Equipment,1559282.28
Switzerland,Outdoor Protection,77853.95999999999
Switzerland,Personal Accessories,6248936.73
United Kingdom,Camping Equipment,7760372.540000003
United Kingdom,Golf Equipment,4876159.76
United Kingdom,Mountaineering Equipment,3224940.670000002
United Kingdom,Outdoor Protection,154251.76
United Kingdom,Personal Accessories,10988954.39999999
United States,Camping Equipment,21118927.32
United States,Golf Equipment,13866839.679999998
United States,Mountaineering Equipment,9041319.730000002
United States,Outdoor Protection,441204.14999999997
United States,Personal Accessories,35260523.58999999
