Retailer country,Revenue,Planned revenue,Gross profit
Australia,0.0,0.0,0.0
Austria,30342789.66999999,31497703.969999995,12351463.800000006
Belgium,16073047.720000003,16640047.829999994,6618419.340000001
Brazil,29211007.609999992,30715630.219999984,11855083.34999999
Canada,59271676.520000026,62519525.959999956,23848638.089999992
China,68421694.23000002,72806556.75000003,27395089.13999999
Denmark,14114491.579999996,14912451.860000009,5562686.25
Finland,36353326.75999998,38746764.38999997,14400196.979999997
France,67045859.96999996,70796595.59000002,27127518.980000045
Germany,61539365.41000001,65189420.39000001,24770281.759999987
Italy,32017325.569999997,33959650.47000001,12968830.97
Japan,75781108.32999998,80340405.84000005,30462463.46000001
Korea,42151174.54999996,45318723.32000002,16809027.34
Mexico,27817408.200000007,29803850.35,11120421.23
Netherlands,35385280.98999998,37598225.100000024,14175503.98000001
Singapore,41360570.88999998,44167209.86,16552042.46
Spain,28302695.48000001,30058286.73999998,11431344.660000002
Sweden,14775910.279999997,15542026.869999986,5883798.619999998
Switzerland,0.0,0.0,0.0
United Kingdom,58286458.94000001,61909960.720000006,23264177.830000006
United States,176101611.0200001,185952101.29000014,71020920.33000003
