,Retailer country,Product line,Gross profit
0,Australia,Camping Equipment,4888856.360000002
1,Australia,Golf Equipment,3226791.410000001
2,Australia,Mountaineering Equipment,2159714.460000001
3,Australia,Outdoor Protection,105535.82000000002
4,Australia,Personal Accessories,4500950.489999999
5,Austria,Camping Equipment,3712174.43
6,Austria,Golf Equipment,2488394.9999999995
7,Austria,Mountaineering Equipment,1570293.8999999997
8,Austria,Outdoor Protection,80261.09
9,Austria,Personal Accessories,6342837.539999996
10,Belgium,Camping Equipment,3354655.37
11,Belgium,Golf Equipment,2146463.97
12,Belgium,Mountaineering Equipment,1429134.0700000003
13,Belgium,Outdoor Protection,68918.04000000001
14,Belgium,Personal Accessories,4701049.429999999
15,Brazil,Camping Equipment,3621557.3
16,Brazil,Golf Equipment,2344466.5300000003
17,Brazil,Mountaineering Equipment,1518427.75
18,Brazil,Outdoor Protection,76005.58000000002
19,Brazil,Personal Accessories,5560395.11
20,Canada,Camping Equipment,9114473.39
21,Canada,Golf Equipment,5647517.279999999
22,Canada,Mountaineering Equipment,3868103.4899999984
23,Canada,Outdoor Protection,188722.11
24,Canada,Personal Accessories,11657454.839999998
25,China,Camping Equipment,8399607.75
26,China,Golf Equipment,5599713.27
27,China,Mountaineering Equipment,3623874.7700000005
28,China,Outdoor Protection,178277.78
29,China,Personal Accessories,11590186.660000004
30,Denmark,Camping Equipment,1355084.1699999995
31,Denmark,Golf Equipment,276050.58999999997
32,Denmark,Mountaineering Equipment,248954.68
33,Denmark,Outdoor Protection,28197.91
34,Denmark,Personal Accessories,3063185.5100000002
35,Finland,Camping Equipment,6030428.420000002
36,Finland,Golf Equipment,3985209.25
37,Finland,Mountaineering Equipment,2448051.37
38,Finland,Outdoor Protection,118175.56000000001
39,Finland,Personal Accessories,5935627.290000001
40,France,Camping Equipment,7487325.12
41,France,Golf Equipment,4713372.150000001
42,France,Mountaineering Equipment,3150605.99
43,France,Outdoor Protection,155181.34
44,France,Personal Accessories,11294003.599999998
45,Germany,Camping Equipment,6938048.65
46,Germany,Golf Equipment,4511637.02
47,Germany,Mountaineering Equipment,3005723.1999999997
48,Germany,Outdoor Protection,144789.67
49,Germany,Personal Accessories,9290086.04
50,Italy,Camping Equipment,5539812.389999999
51,Italy,Golf Equipment,3868158.689999999
52,Italy,Mountaineering Equipment,2469385.4999999995
53,Italy,Outdoor Protection,115973.90000000002
54,Italy,Personal Accessories,7466497.749999999
55,Japan,Camping Equipment,8862810.790000001
56,Japan,Golf Equipment,5883496.200000001
57,Japan,Mountaineering Equipment,3852248.8199999984
58,Japan,Outdoor Protection,185165.15999999997
59,Japan,Personal Accessories,16042077.15
60,Korea,Camping Equipment,6256785.76
61,Korea,Golf Equipment,4237951.51
62,Korea,Mountaineering Equipment,2708968.37
63,Korea,Outdoor Protection,129868.35999999999
64,Korea,Personal Accessories,6148222.269999999
65,Mexico,Camping Equipment,5415593.71
66,Mexico,Golf Equipment,3546520.11
67,Mexico,Mountaineering Equipment,2311666.4200000004
68,Mexico,Outdoor Protection,114330.12000000001
69,Mexico,Personal Accessories,4478387.9
70,Netherlands,Camping Equipment,5848549.399999999
71,Netherlands,Golf Equipment,3631426.709999999
72,Netherlands,Mountaineering Equipment,2325760.8099999996
73,Netherlands,Outdoor Protection,110592.20000000001
74,Netherlands,Personal Accessories,7204098.75
75,Singapore,Camping Equipment,5661253.22
76,Singapore,Golf Equipment,3534015.6499999994
77,Singapore,Mountaineering Equipment,2468739.0700000003
78,Singapore,Outdoor Protection,118644.53
79,Singapore,Personal Accessories,7839522.039999999
80,Spain,Camping Equipment,5197574.030000001
81,Spain,Golf Equipment,3540352.0100000007
82,Spain,Mountaineering Equipment,2346184.87
83,Spain,Outdoor Protection,104956.84
84,Spain,Personal Accessories,6200067.07
85,Sweden,Camping Equipment,2452843.8499999996
86,Sweden,Golf Equipment,2387892.6599999997
87,Sweden,Mountaineering Equipment,1387433.9700000002
88,Sweden,Outdoor Protection,48351.299999999996
89,Sweden,Personal Accessories,4722094.909999999
90,Switzerland,Camping Equipment,3614162.68
91,Switzerland,Golf Equipment,2330265.4499999983
92,Switzerland,Mountaineering Equipment,1559282.28
93,Switzerland,Outdoor Protection,77853.95999999999
94,Switzerland,Personal Accessories,6248936.73
95,United Kingdom,Camping Equipment,7760372.540000003
96,United Kingdom,Golf Equipment,4876159.76
97,United Kingdom,Mountaineering Equipment,3224940.670000002
98,United Kingdom,Outdoor Protection,154251.76
99,United Kingdom,Personal Accessories,10988954.39999999
100,United States,Camping Equipment,21118927.32
101,United States,Golf Equipment,13866839.679999998
102,United States,Mountaineering Equipment,9041319.730000002
103,United States,Outdoor Protection,441204.14999999997
104,United States,Personal Accessories,35260523.58999999
