,Year,Retailer country,Product,Gross profit
0,2004,United States,TrailChef Water Bag,156672.57
1,2004,Canada,TrailChef Water Bag,7145.88
2,2004,Mexico,TrailChef Water Bag,0.0
3,2004,Brazil,TrailChef Water Bag,0.0
4,2004,Japan,TrailChef Water Bag,91707.18
5,2004,Korea,TrailChef Water Bag,0.0
6,2004,China,TrailChef Water Bag,34281.9
7,2004,Singapore,TrailChef Water Bag,14569.38
8,2004,Australia,TrailChef Water Bag,0.0
9,2004,Netherlands,TrailChef Water Bag,37789.55
10,2004,Sweden,TrailChef Water Bag,8699.22
11,2004,Finland,TrailChef Water Bag,39869.03
12,2004,Denmark,TrailChef Water Bag,17081.4
13,2004,France,TrailChef Water Bag,52043.5
14,2004,Germany,TrailChef Water Bag,0.0
15,2004,United Kingdom,TrailChef Water Bag,79920.02
16,2004,Belgium,TrailChef Water Bag,0.0
17,2004,Switzerland,TrailChef Water Bag,0.0
18,2004,Austria,TrailChef Water Bag,34689.14
19,2004,Italy,TrailChef Water Bag,0.0
20,2004,Spain,TrailChef Water Bag,0.0
21,2004,United States,TrailChef Water Bag,92939.6
22,2004,Canada,TrailChef Water Bag,0.0
23,2004,Mexico,TrailChef Water Bag,68402.21
24,2004,Brazil,TrailChef Water Bag,0.0
25,2004,Japan,TrailChef Water Bag,0.0
26,2004,Korea,TrailChef Water Bag,94805.19
27,2004,China,TrailChef Water Bag,0.0
28,2004,Singapore,TrailChef Water Bag,59010.31
29,2004,Australia,TrailChef Water Bag,0.0
30,2004,Netherlands,TrailChef Water Bag,0.0
31,2004,Sweden,TrailChef Water Bag,0.0
32,2004,Finland,TrailChef Water Bag,38407.93
33,2004,Denmark,TrailChef Water Bag,6693.12
34,2004,France,TrailChef Water Bag,49702.57
35,2004,Germany,TrailChef Water Bag,70754.31
36,2004,United Kingdom,TrailChef Water Bag,6246.24
37,2004,Belgium,TrailChef Water Bag,7014.9
38,2004,Switzerland,TrailChef Water Bag,0.0
39,2004,Austria,TrailChef Water Bag,0.0
40,2004,Italy,TrailChef Water Bag,52562.55
41,2004,Spain,TrailChef Water Bag,6928.74
42,2004,United States,TrailChef Water Bag,176276.82
43,2004,Canada,TrailChef Water Bag,71425.99
44,2004,Mexico,TrailChef Water Bag,9586.44
45,2004,Brazil,TrailChef Water Bag,61209.43
46,2004,Japan,TrailChef Water Bag,32874.68
47,2004,Korea,TrailChef Water Bag,37392.56
48,2004,China,TrailChef Water Bag,141866.92
49,2004,Singapore,TrailChef Water Bag,9179.66
50,2004,Australia,TrailChef Water Bag,0.0
51,2004,Netherlands,TrailChef Water Bag,49916.02
52,2004,Sweden,TrailChef Water Bag,25248.84
53,2004,Finland,TrailChef Water Bag,40062.26
54,2004,Denmark,TrailChef Water Bag,15317.76
55,2004,France,TrailChef Water Bag,46545.23
56,2004,Germany,TrailChef Water Bag,37729.58
57,2004,United Kingdom,TrailChef Water Bag,87678.26
58,2004,Belgium,TrailChef Water Bag,21914.66
59,2004,Switzerland,TrailChef Water Bag,0.0
60,2004,Austria,TrailChef Water Bag,18987.98
61,2004,Italy,TrailChef Water Bag,6843.2
62,2004,Spain,TrailChef Water Bag,56499.2
63,2004,United States,TrailChef Water Bag,0.0
64,2004,Canada,TrailChef Water Bag,20260.66
65,2004,Mexico,TrailChef Water Bag,13900.25
66,2004,Brazil,TrailChef Water Bag,0.0
67,2004,Japan,TrailChef Water Bag,7034.02
68,2004,Korea,TrailChef Water Bag,0.0
69,2004,China,TrailChef Water Bag,14858.0
70,2004,Singapore,TrailChef Water Bag,0.0
71,2004,Australia,TrailChef Water Bag,0.0
72,2004,Netherlands,TrailChef Water Bag,0.0
73,2004,Sweden,TrailChef Water Bag,0.0
74,2004,Finland,TrailChef Water Bag,0.0
75,2004,Denmark,TrailChef Water Bag,0.0
76,2004,France,TrailChef Water Bag,0.0
77,2004,Germany,TrailChef Water Bag,0.0
78,2004,United Kingdom,TrailChef Water Bag,0.0
79,2004,Belgium,TrailChef Water Bag,2997.91
80,2004,Switzerland,TrailChef Water Bag,0.0
81,2004,Austria,TrailChef Water Bag,0.0
82,2004,Italy,TrailChef Water Bag,0.0
83,2004,Spain,TrailChef Water Bag,0.0
84,2004,United States,TrailChef Water Bag,23812.95
85,2004,Canada,TrailChef Water Bag,0.0
86,2004,Mexico,TrailChef Water Bag,0.0
87,2004,Brazil,TrailChef Water Bag,0.0
88,2004,Japan,TrailChef Water Bag,7379.47
89,2004,Korea,TrailChef Water Bag,11017.53
90,2004,China,TrailChef Water Bag,0.0
91,2004,Singapore,TrailChef Water Bag,0.0
92,2004,Australia,TrailChef Water Bag,0.0
93,2004,Netherlands,TrailChef Water Bag,8755.02
94,2004,Sweden,TrailChef Water Bag,0.0
95,2004,Finland,TrailChef Water Bag,0.0
96,2004,Denmark,TrailChef Water Bag,0.0
97,2004,France,TrailChef Water Bag,21740.5
98,2004,Germany,TrailChef Water Bag,0.0
99,2004,United Kingdom,TrailChef Water Bag,0.0
100,2004,Belgium,TrailChef Water Bag,0.0
101,2004,Switzerland,TrailChef Water Bag,0.0
102,2004,Austria,TrailChef Water Bag,0.0
103,2004,Italy,TrailChef Water Bag,0.0
104,2004,Spain,TrailChef Water Bag,6597.42
105,2004,United States,TrailChef Water Bag,0.0
106,2004,Canada,TrailChef Water Bag,77255.4
107,2004,Mexico,TrailChef Water Bag,0.0
108,2004,Brazil,TrailChef Water Bag,0.0
109,2004,Japan,TrailChef Water Bag,36768.95
110,2004,Korea,TrailChef Water Bag,0.0
111,2004,China,TrailChef Water Bag,0.0
112,2004,Singapore,TrailChef Water Bag,0.0
113,2004,Australia,TrailChef Water Bag,0.0
114,2004,Netherlands,TrailChef Water Bag,8349.55
115,2004,Sweden,TrailChef Water Bag,6807.01
116,2004,Finland,TrailChef Water Bag,0.0
117,2004,Denmark,TrailChef Water Bag,0.0
118,2004,France,TrailChef Water Bag,0.0
119,2004,Germany,TrailChef Water Bag,65054.23
120,2004,United Kingdom,TrailChef Water Bag,0.0
121,2004,Belgium,TrailChef Water Bag,0.0
122,2004,Switzerland,TrailChef Water Bag,0.0
123,2004,Austria,TrailChef Water Bag,0.0
124,2004,Italy,TrailChef Water Bag,29225.74
125,2004,Spain,TrailChef Water Bag,13750.8
126,2004,United States,TrailChef Water Bag,24737.63
127,2004,Canada,TrailChef Water Bag,0.0
128,2004,Mexico,TrailChef Water Bag,0.0
129,2004,Brazil,TrailChef Water Bag,18208.4
130,2004,Japan,TrailChef Water Bag,30764.41
131,2004,Korea,TrailChef Water Bag,0.0
132,2004,China,TrailChef Water Bag,0.0
133,2004,Singapore,TrailChef Water Bag,51392.53
134,2004,Australia,TrailChef Water Bag,0.0
135,2004,Netherlands,TrailChef Water Bag,0.0
136,2004,Sweden,TrailChef Water Bag,0.0
137,2004,Finland,TrailChef Water Bag,0.0
138,2004,Denmark,TrailChef Water Bag,0.0
139,2004,France,TrailChef Water Bag,20976.05
140,2004,Germany,TrailChef Water Bag,7188.65
141,2004,United Kingdom,TrailChef Water Bag,0.0
142,2004,Belgium,TrailChef Water Bag,0.0
143,2004,Switzerland,TrailChef Water Bag,0.0
144,2004,Austria,TrailChef Water Bag,0.0
145,2004,Italy,TrailChef Water Bag,0.0
146,2004,Spain,TrailChef Water Bag,0.0
147,2004,United States,TrailChef Canteen,85308.18
148,2004,Canada,TrailChef Canteen,2081.2
149,2004,Mexico,TrailChef Canteen,2932.6
150,2004,Brazil,TrailChef Canteen,1941.45
151,2004,Japan,TrailChef Canteen,42189.47
152,2004,Korea,TrailChef Canteen,0.0
153,2004,China,TrailChef Canteen,16843.07
154,2004,Singapore,TrailChef Canteen,0.0
155,2004,Australia,TrailChef Canteen,0.0
156,2004,Netherlands,TrailChef Canteen,10987.71
157,2004,Sweden,TrailChef Canteen,0.0
158,2004,Finland,TrailChef Canteen,12329.39
159,2004,Denmark,TrailChef Canteen,7669.14
160,2004,France,TrailChef Canteen,19095.82
161,2004,Germany,TrailChef Canteen,0.0
