county,candidate,votes,numbers
Los Angeles,Hillary Clinton,590502,1
Philadelphia,Hillary Clinton,212785,1
Wayne,Hillary Clinton,163886,1
Harris,Hillary Clinton,156729,1
Orange,Donald Trump,146888,2
Maricopa,Donald Trump,144522,2
San Diego,Hillary Clinton,139813,1
Broward,Hillary Clinton,132527,1
Miami-Dade,Hillary Clinton,129467,1
Cuyahoga,Hillary Clinton,125914,1
Allegheny,Hillary Clinton,122399,1
Queens,Hillary Clinton,122386,1
Prince George's,Hillary Clinton,113912,1
Dallas,Hillary Clinton,113574,1
Santa Clara,Hillary Clinton,109963,1
Montgomery,Hillary Clinton,109304,1
Alameda,Hillary Clinton,107102,1
Palm Beach,Hillary Clinton,103369,1
Dane,Bernie Sanders,102585,3
Franklin,John Kasich,101217,4
Milwaukee,Hillary Clinton,100932,1
Bronx,Hillary Clinton,95772,1
Oakland,Hillary Clinton,92296,1
Tarrant,Ted Cruz,88867,5
Multnomah,Bernie Sanders,87247,3
Fairfax,Hillary Clinton,86898,1
San Francisco,Hillary Clinton,85070,1
Riverside,Donald Trump,82814,2
Fulton,Hillary Clinton,82576,1
DeKalb,Hillary Clinton,82348,1
Summit,John Kasich,79040,4
Wake,Hillary Clinton,77927,1
Bexar,Hillary Clinton,76502,1
Waukesha,Ted Cruz,75123,5
Essex,Hillary Clinton,75071,1
Travis,Bernie Sanders,73889,3
Baltimore,Hillary Clinton,73099,1
Mecklenburg,Hillary Clinton,71265,1
San Bernardino,Hillary Clinton,71246,1
Nassau,Hillary Clinton,70947,1
Contra Costa,Hillary Clinton,69809,1
Westchester,Hillary Clinton,69628,1
Suffolk,Donald Trump,69379,2
Hillsborough,Hillary Clinton,68936,1
Sacramento,Hillary Clinton,68248,1
Hamilton,John Kasich,67510,4
Jefferson,Hillary Clinton,67357,1
Shelby,Hillary Clinton,66465,1
DuPage,Bernie Sanders,65159,3
King,Donald Trump,64740,2
Pinellas,Hillary Clinton,63699,1
Macomb,Donald Trump,60492,2
Marion,Hillary Clinton,59649,1
Duval,Hillary Clinton,58632,1
Pima,Hillary Clinton,56317,1
Bergen,Hillary Clinton,55264,1
Lee,Donald Trump,51659,2
Bucks,Donald Trump,51433,2
Erie,Hillary Clinton,50199,1
Hudson,Hillary Clinton,49798,1
Lake,Hillary Clinton,49750,1
Jackson,Hillary Clinton,48860,1
Pierce,Donald Trump,48071,2
Middlesex,Hillary Clinton,47978,1
San Mateo,Hillary Clinton,47358,1
Will,Bernie Sanders,46305,3
Collin,Ted Cruz,46094,5
Ventura,Hillary Clinton,45848,1
Brevard,Donald Trump,45483,2
Sonoma,Hillary Clinton,44923,1
Delaware,Hillary Clinton,44775,1
Ocean,Donald Trump,44672,2
Camden,Hillary Clinton,43720,1
Davidson,Hillary Clinton,43691,1
Kent,Bernie Sanders,43375,3
York,Donald Trump,41948,2
Lane,Bernie Sanders,41883,3
Washington,Bernie Sanders,41841,3
Union,Hillary Clinton,40972,1
Hidalgo,Hillary Clinton,40276,1
Denton,Ted Cruz,39404,5
Cobb,Hillary Clinton,39277,1
Richland,Hillary Clinton,39243,1
New Castle,Hillary Clinton,38580,1
Morris,Donald Trump,38252,2
Bernalillo,Bernie Sanders,38247,3
Lancaster,Donald Trump,38171,2
Washtenaw,Bernie Sanders,38063,3
Guilford,Hillary Clinton,37880,1
Fresno,Donald Trump,37672,2
Gwinnett,Hillary Clinton,37465,1
Spokane,Donald Trump,37357,2
Monroe,Hillary Clinton,37309,1
El Paso,Hillary Clinton,36067,1
Durham,Hillary Clinton,35845,1
Anne Arundel,Hillary Clinton,35659,1
Salt Lake,Bernie Sanders,35610,3
Chester,Donald Trump,35577,2
Snohomish,Donald Trump,35474,2
Monmouth,Donald Trump,35209,2
Pulaski,Hillary Clinton,34862,1
Sarasota,Donald Trump,34593,2
Oklahoma,Hillary Clinton,34255,1
Volusia,Donald Trump,34167,2
Kern,Donald Trump,33838,2
Pasco,Donald Trump,33536,2
Stark,John Kasich,33297,4
Polk,Donald Trump,33187,2
Clark,Donald Trump,32947,2
Burlington,Hillary Clinton,32712,1
Westmoreland,Donald Trump,32145,2
Lucas,Hillary Clinton,32137,1
Solano,Hillary Clinton,31753,1
Fort Bend,Ted Cruz,31422,5
Hinds,Hillary Clinton,31386,1
Genesee,Hillary Clinton,31284,1
Kane,Bernie Sanders,31085,3
Rockingham,Bernie Sanders,31080,3
Buncombe,Bernie Sanders,30913,3
Howard,Hillary Clinton,30873,1
Utah,Ted Cruz,30637,5
St. Charles,Donald Trump,30489,2
Collier,Donald Trump,30071,2
Allen,Ted Cruz,29963,5
Passaic,Hillary Clinton,29538,1
Mercer,Hillary Clinton,29505,1
Mobile,Hillary Clinton,28927,1
